insert into phenome.locus (population_id, locus_name, locus_symbol, locus_synonym, original_symbol) values ((select population_id from phenome.population where phenome.population.population_name like 'tgrc'), 'anthocyaninless', 'a', '{a1,a}', 'a');										
locus_id	population_id	locus_name	locus_symbol	locus_synonym	original_symbol	gene_activity	gi_list	pubmed_list	unigene_id	notes
	ncbi	EIL1	EIL1				47105744|14280039	11359609		
	ncbi	EIL3	EIL3				47105105|14280043	11359609		
	ncbi	EIX receptor 1	Eix1				39577519	15155877		
n	tgrc	elata	ela		ela					
	tgrc	elegans	ele		ele					
n	tgrc	elegans-2	ele2		ele-2					
n	tgrc	elongata	elo		elo					
	tgrc	elongated	el	e	el					
	tgrc	eluta	elu		elu					
n	tgrc	eluta-2	elu2		elu-2					
	tgrc	emortua	em	em1	em					
	ncbi	endo-1,4-beta-glucanase (Cel3)	Cel3				47104907|2065530	9114071		
	ncbi	endo-1,4-beta-glucanase (cel5)	cel5				3687886	10555309		
	ncbi	endo-1,4-beta-glucanase precursor (Cel2)	Cel2	cel			34481834|531904	7994180		
	ncbi	endo-beta-1,4-D-glucanase (Cel8)	Cel8				4165131|47105142			
	ncbi	endo-xyloglucan transferase	ext				457570|47104763	8244968		
	ncbi	enolase	ER28			ethylene-responsive enolase (ER28)	5669647|19280|47104509	1841726|10417710		
	tgrc	ensiform	en		en					
	tgrc	entire	e	b	e					is tkn1/
n	tgrc	entire leaflet	ent		ent					
	tgrc	entirely anthocyaninless	ae	a332	ae					
	tgrc	Epinastic	epi	Epi	Epi					
	ncbi	ER auxin binding 1	ERabp1				3819675			
	ncbi	ER66	ER66				47104896|5669649	10417710		
	tgrc	eramosa	era	era1	era					
	tgrc	erecta	er		er					
n	tgrc	erecta-2	er2		er-2					
n	tgrc	Erectoid leaf	Erl		Erl					
	tgrc	Esterase-1	est1	Est-1	Est-1					
	tgrc	Esterase-2	est2	Est-2	Est-2					
	tgrc	Esterase-3	est3	Est-3	Est-3					
	tgrc	Esterase-4	est4	Est-4	Est-4					
	tgrc	Esterase-5	est5	Est-5	Est-5					
	tgrc	Esterase-6	est6	Est-6	Est-6					
	tgrc	Esterase-7	est7	Est-7	Est-7					
	tgrc	Esterase-8	est8	Est-8	Est-8					
	ncbi	ethylene overproducer-like 1	EOL1				70780054			
	ncbi	ethylene receptor 1	ETR1				1163080|2852990	8704141|9721682		
	ncbi	ethylene receptor 2	ETR2	ETR1			1272245|2852992	9721682		
	ncbi	ethylene receptor homolog (ETR4)	ETR4				4877650	10318694		
	ncbi	ethylene receptor homolog (ETR5)	ETR5				4877652	10318694		
	ncbi	ethylene receptor-like protein (ETR6)	ETR6				19421762			
	ncbi	ethylene response factor 1	ERF1				47104566|28274827	12935902		
	ncbi	ethylene response factor 1b	ERF1b		GenBank: ERF1		18650661	15834808		
	ncbi	ethylene response factor 2	ERF2				40557188|28274829	12935902		
	ncbi	ethylene response factor 3	ERF3				28274831|45642987|47105541	12935902		
	ncbi	ethylene response factor 4	ERF4				28274833	12935902		
	ncbi	ethylene response factor 5	ERF5				45642989			
	ncbi	ethylene responsive element binding protein	EREB	TSRF1			23452023|25992125	15604719		
	ncbi	ethylene responsive proteinase inhibitor 1	ER1				170483|623593	3472237|2903499		
	ncbi	ethylene signaling protein	EIN2				77747169|74099705			
	ncbi	ethylene-forming enzyme	EFE			ethylene-forming enzyme	233722|19208|47105405	1714605|3029690		
	ncbi	ethylene-induced P1 (p14)	pTE28d1	pTE28.1P6,PR1b1			19284|170489|2529164	8108502|1421154|9204567		
	ncbi	ethylene-inducible CTR1-like protein kinase	CTR1	CTR-1ER50		ethylene-inducible CTR1-like protein kinase	4193949|4193947|2370252|5669641	9289746|10417710		
	ncbi	ethylene-responsive catalase	ER60				5669645|47104380|5257184	10417710		
	ncbi	ethylene-responsive elongation factor EF-Ts precursor	ER49				5669635	10417710		
	ncbi	ethylene-responsive factor 1	ERF1a		GenBank: ERF1		22074049	15327984		
	ncbi	ethylene-responsive heat shock protein cognate 70	ER21				5669643	10417710		
	ncbi	ethylene-responsive late embryogenesis	ER5				1684829	9426604|10417710		
	ncbi	ethylene-responsive methionine synthase	ER69			methionine synthase	5669651	10417710		
	ncbi	ethylene-responsive nuclear protein	ERN1				77963736			
	ncbi	ethylene-responsive RNA helicase	ER68			RNA helicase	47104376|5669637	10417710		
	ncbi	ethylene-responsive small GTP-binding protein	ER43				47104427|5669639	10417710		
	ncbi	ethylene-responsive transcriptional coactivator	ER24				5669633	10417710		
n	tgrc	eugenol concentration	eu		eu					
	tgrc	excedens	exs	exs1	exs					
	tgrc	exilis	exl	ex	exl					
	ncbi	expansin 10	EXPA10				1119200	11080302		
	ncbi	expansin 6	EXPA6				4138917	10080718		
	ncbi	expansin 7	EXPA7				4138919	10080718		
	ncbi	expansin 8	EXPA8				11191998	11080302		
	ncbi	expansin  1	EXP1				33334358|2062420	9159182		
	ncbi	expansin 2	EXP2				3747131	10677445		
	ncbi	expansin precursor 11	Exp11				7263071|30519751			
	ncbi	expansin precursor 3	EXPA3				4138911	10080718		
	ncbi	expansin precursor 4	EXPA4				47105506|4138913	10080718		
	ncbi	expansin precursor 5	EXPA5				4138915	10080718		
	ncbi	expansin12	exp12				30519753			
	ncbi	expansin18	exp18				6688555|47104416|4886514			
	ncbi	expansin9	exp9				5419926			
n	tgrc	expassa	exa		exa					
n	tgrc	exserted carpels	ec		ec					
	tgrc	exserted stigma	ex		ex					
	ncbi	extensin-like	ext1				18138037	11891247		
	tgrc	extenuata	ete	ete1	ete					
n	tgrc	extreme dwarf-2	dx2		dx-2					
n	tgrc	extreme miniature	mnx		mnx					
	tgrc	falsiflora	fa	fa1	fa	FLORICAULA/LEAFY-like protein	7658234|7658232	10652140		
	tgrc	far red light insensitive	fri		fri					
n	tgrc	farinosa	far		far					
	ncbi	farnesyl protein transferase subunit A	FTA				1815665	9121446		
	ncbi	farnesyl protein transferase subunit B	FTB				1815667	9121446		
	ncbi	farnesyl pyrophosphate synthase	FPS1				47105325|2935458			
	tgrc	fasciated fruit	f		f					
	tgrc	fe inefficient	fer		fer	bHLH transcriptional regulator	23600382	12370409		
n	tgrc	female-sterile	fms		fms					
n	tgrc	Fenthion sensitivity	Fen		Fen					
	ncbi	ferredoxin	ferredoxin				6688559			
	ncbi	ferric-chelate reductase	FRO1				37903682	15159639		
	tgrc	fertilis	fe		fe					
	tgrc	field yellow	fy		fy					
n	tgrc	filaris	fil		fil					
n	tgrc	filiform inflorescence	fli		fli					
n	tgrc	filiforme-2	fi2		fi-2					
	tgrc	fimbriate gold virescent	fgv		fgv					
	tgrc	finely-netted	fn		fn					
	tgrc	firma	fir		fir					
n	tgrc	firma-2	fir2		fir-2					
n	tgrc	firma-3	fir3		fir-3					
n	tgrc	fistulosiflora	fis		fis					
	tgrc	flacca	flc		flc	molybdenum cofactor sulfurase (FLACCA)	22128582	12164810		
n	tgrc	flaccescens	fc		fc					
	tgrc	flaccida	fld	fld1	fld					
n	tgrc	flaveola	fv		fv					
	tgrc	flavescens	fla		fla					
	tgrc	flavida	flav		flav					
n	tgrc	flavida-2	flav2		flav-2					
	tgrc	flecked dwarf	fd		fd					
	tgrc	fleshy calyx	fl		fl					
	tgrc	flexa	fx		fx					
	tgrc	flexifolia	fle	fle1	fle					
	tgrc	FORL resistance	fr1	Frl,Fr1,Fr-1	frl					
	ncbi	formate dehydrogenase	fdh			formate dehydrogenase	56562180			
	tgrc	formate dehydrogenase-1	fdh1	Fdh-1	Fdh-1	formate dehydrogenase				
	tgrc	fracta	frt		frt					
	tgrc	fragilis	frg	frg1	frg					
n	tgrc	fragosa	fra		fra					
n	tgrc	Frilly	Frly		Frly					
n	tgrc	frondea	fro		fro					
	tgrc	Frosty spot	frs	Frs,Nec	frs					
	ncbi	fructokinase	Frk1				2102690	9112782		
	ncbi	fructokinase 2	Frk2	FK			2102692|1915973	9112782		
n	tgrc	Fructose to glucose ratio	Fgr		Fgr					
	tgrc	frugalis	fr		fr					
n	tgrc	fruit pox	fp		fp					
n	tgrc	Fruit stripe	Fs		Fs					
	ncbi	FRUITFULL-like MADS-box 1	fruitfull1	FUL1	GenBank: FUL1		32478034|23428886|47104639	13677468|14573491		
	ncbi	FRUITFULL-like MADS-box 2	fruitfull2	FUL2	GenBank: FUL2		32478036|47105472	14573491		
	tgrc	fruiting temperature	ft		ft					
	tgrc	fucata	fua	fua1	fua					
	tgrc	fucatifolia	fcf	fcf1	fcf					
	tgrc	fulgens	ful		ful					
n	tgrc	fulgens-2	ful2		ful-2					
	tgrc	fulgens-3	ful3	ful-3	ful-3					
	tgrc	fulgescens	fus		fus					
	tgrc	fulgida	fug	fug1	fug					
	tgrc	Furrowed	fw	Fw	Fw					
	tgrc	fuscatinervis	fsc	dkv	fsc					
	tgrc	fusiformis	fu		fu					
	ncbi	fw2.2 gene and ORF44	fw2.2				27414000|27413998|27413996|27413994	12242247|10884229		
	ncbi	G-box binding	GBF12			G-box binding protein	47105288|456750	8127687		
	ncbi	galactinol synthase 1	GolS1	GolS-1			16588447	12644684		
	tgrc	galapagos light green	glg		glg					
	tgrc	galbina	ga	ga1	ga					
n	tgrc	galbina-2	ga2		ga-2					
	tgrc	Gamete eliminator	ge	Ge	Ge					
n	tgrc	Gamete promoter	Gp		Gp					
	tgrc	gametophytic factor	x		x					
n	tgrc	gametophytic factor-2	x2		x-2					
	tgrc	gamosepala	gas	gas1	gas					
	tgrc	gamosepalous	gm		gm					
	ncbi	GBF9G-box binding	GBF9				47105395|456754	8127687		
	ncbi	GcpE	GcpE				27462473|47106044			
	ncbi	GDP dissociation inhibitor	GDI1				8439464			
	ncbi	GDP-mannose pyrophosphorylase	KPP				57869093	15860008		
	ncbi	germin	Mdip1				2979493			
	tgrc	ghost-2	gh2	gh-2	gh-2					
	tgrc	gibberellin deficient-1	gib1	gib-1	gib-1					
	tgrc	gibberellin deficient-2	gib2	gib-2	gib-2					
	tgrc	gibberellin-deficient-3	gib3	gib-3	gib-3					
n	tgrc	Gibberellin-exserted	Gx		Gx					
	tgrc	gibberosa	gi		gi					
n	tgrc	gilva	gil		gil					
	tgrc	glauca	gl		gl					
n	tgrc	glauca-2	gl2		gl-2					
	tgrc	glaucescens	glau		glau					
n	tgrc	glaucescens-2	glau2		glau-2					
n	tgrc	glaucicolor	gla		gla					
	tgrc	glaucophylla	glc		glc					
n	tgrc	glaucophylla-2	glc2		glc-2					
n	tgrc	glaucophylla-3	glc3		glc-3					
	ncbi	gldhL-galactono-1,4-lactone dehydrogenase	gldh				7800635|22761942			
	tgrc	globiformis	glf	glf1	glf					
	tgrc	globosa	glo	inx,intro	glo					
n	tgrc	globosa-2	glo2		glo-2					
n	tgrc	globosa-3	glo3		glo-3					
	tgrc	globula	gbl		gbl					
	tgrc	globular flower	gfl		gfl					
	tgrc	globularis	glb		glb					
n	tgrc	globularis-2	glb2		glb-2					
	tgrc	glomerata	glm		glm					
	ncbi	glucose-6-phosphate isomerase	GPI			glucose-6-phosphate isomerase	47104886|51340061			
	ncbi	glutamate dehydrogenase	gdh1			glutamate dehydrogenase	1762147			
	tgrc	Glutamate oxaloacetate transaminase-1	got1	Got-1	Got-1	Glutamate oxaloacetate transaminase				
	tgrc	Glutamate oxaloacetate transaminase-2	got2	Got-2	Got-2	Glutamate oxaloacetate transaminase				
	tgrc	Glutamate oxaloacetate transaminase-3	got3	Got-3	Got-3	Glutamate oxaloacetate transaminase				
	tgrc	Glutamate oxaloacetate transaminase-4	got4	Got-4	Got-4	Glutamate oxaloacetate transaminase				
	ncbi	glutamine synthase	gts1			glutamine synthase	20269120			
	ncbi	glutathione S-transferase/peroxidase	BIGST/GPX	BI-GST/GPX		glutathione S-transferase/peroxidase	6653232	10859306		
	ncbi	Glutation-S-transferase	ctu1	GST		Glutation-S-transferase	10567805|6491767	11430427|15037622		
	tgrc	glutinosa	glu	glu1	glu					
	ncbi	glyceraldehyde 3-phosphate dehydrogenase	GAPDH			phosphate dehydrogenase	2078297|47104108|1931618			
	ncbi	glycerol-3-phosphate acyltransferase	GPAT				46981927			
	ncbi	glycolate oxidase	GLO2.1		GenBank: GLO2	glycolate oxidase	66730859|47104892			
	ncbi	glycosyltransferase	pglcat8				63087745			
	ncbi	glyoxisomal malate dehydrogenase	gMDH				52139819|47104243	15665243		
n	tgrc	Gold fleck	Gdf		Gdf					
	tgrc	gracilenta	grl	grl1	grl					
n	tgrc	gracilenta-2	grl2		grl-2					
	tgrc	gracilis	gra		gra					
n	tgrc	gracilis-2	gra2		gra-2					
n	tgrc	gracilis-3	gra3		gra-3					
	tgrc	gracillama	grc	grc1	grc					
n	tgrc	grandifolia	gfo		gfo					
	tgrc	grandifructa	grf	grf1	grf					
	tgrc	granulosa	grn		grn					
	tgrc	green flesh	gf		gf					
	tgrc	Green ripe	gr	Gr,gr	gr					
	tgrc	green stripe	gs		gs					
n	tgrc	grisea	grs		grs					
n	tgrc	grooved	g		g					
	tgrc	grossa	gro		gro					
	tgrc	grotesque	gq		gq					
	ncbi	GTP-binding protein	ypt2			GTP-binding protein	47104987|313028	8467223		
	ncbi	H2B-1histone H2B	H2B1	H2B-1	GenBank: H2B-1		3021488|47105975	10344194		
	ncbi	H2B-3histone H2B	H2B3	H2B-3			3021484|47105131	10344194		
	tgrc	hairless	hl	cal,cal1	hl					
n	tgrc	hairless style	hs		hs					
	tgrc	hairless-2	hl2	hl-2,hl^prov6	hl2					
	tgrc	hairs absent	h	H	H					
	ncbi	harpin binding protein 1	HrBP1				38679318			
n	tgrc	hastata	ha		ha					
	tgrc	hastate	ht		ht					
	ncbi	HD-ZIP	THOM1			HD-ZIP protein	992597|47105028	7766050		
	ncbi	heat shock protein 21	HSP21	pTOM111,HCIT2		heat shock protein	1885357|2618619|1518138	15879560|9049268|9520284		
	ncbi	heat shock protein 70 kD	hsc1	hsc-1hsc70		heat shock protein	19255|47105001	1893113		
	ncbi	heat shock protein 90	HSP90			heat shock protein	4836476			
	ncbi	heat-induced chilling tolreance	HCT6				4836474|47105688			
	ncbi	heme oxygenase 2	HO2			heme oxygenase	14485576	11402195		
	ncbi	hero resistance 2	help2				26190253			
	ncbi	hero resistance 3	help3				26190255			
	ncbi	heterochromatin protein 1-like protein	HP1L	HP1-L			47105551|66854106			
	tgrc	Heterodera rostochiensis resistance	hero	Hero	hero	cyst nematode resistance protein	26190257|23095860	12121443		
	tgrc	heterogemma	hg	hg1	hg					
	tgrc	heteroidea	he		he					
n	tgrc	heteroidea-2	he2		he-2					
	ncbi	hexokinase	hxk1				23477116			
	ncbi	hexokinase 2	Hxk2				11494009	11164592		
	ncbi	hexokinase 3	HXK3				67003899			
	ncbi	hexose transporter 2	ht2				47104384|5734439|3581999	11198428		
	ncbi	hexose transporter 1	ht1				5734437	11198428		
	ncbi	hexose transporter 3	ht3				5734441	11198428		
	tgrc	hilara	hi		hi					
	tgrc	Hirsute	hr	Hr	Hr					
	tgrc	Hirtum	hrt	Hrt	Hrt					
	ncbi	histidine decarboxylase	hdc				416533	8219096		
	ncbi	histone H1	H1				3021486|47104149	10344194		
	tgrc	Hoffman's anthocyaninless	ah	ao,a337	ah					
	tgrc	homogeneous yellow	hy		hy					
	ncbi	homogentisate 1,2-dioxygenase	HGO				8131904			
	ncbi	HSC2-like	HSC2				47105897|31095604			
	ncbi	hydroperoxide lyase	hpl			hydroperoxide lyase	4850213|13506708|7677377	10859201		
	ncbi	hydroxycinnamoyl CoA quinate transferase	hqt			quinate transferase	40644083	15107863		
	ncbi	I-box binding factor	MYBI				6688528	10652136		
	tgrc	icana	ica		ica					
	ncbi	IDS4-like	ail	ctd4			50830972|6491764	11430427|16040352		
	tgrc	ignava	ig		ig					
n	tgrc	ignava-2	ig2		ig-2					
n	tgrc	ignava-3	ig3		ig-3					
	tgrc	imbecilla	imb		imb					
n	tgrc	imbecilla-2	imb2		imb-2					
	tgrc	Immunity to Fusarium wilt race 0	i	I	I					
	tgrc	Immunity to Fusarium wilt race 2	i2	I-2	I-2	NBS-LRR	4689222	9634592		
	tgrc	Immunity to Fusarium wilt race 3	i3	I-3	I-3					
	tgrc	impatiens	im	im1	im					
n	tgrc	impatiens-2	im2		im-2					
	tgrc	impedita	imp		imp					
	ncbi	importin alpha	KAP				47105944|3228369			
	tgrc	incana	icn		icn					
	tgrc	inclinata	ic		ic					
n	tgrc	inclinata-2	ic2		ic-2					
	tgrc	incomplete anthocyanin	ai	a342	ai					
	tgrc	inconstans	ins	ins1	ins					
	tgrc	incurva	inc		inc					
n	tgrc	incurva-2	inc2		inc-2					
	tgrc	indehiscens	id		id					
n	tgrc	indiga-2	in2		in-2					
n	tgrc	indiga-3	in3		in-3					
	tgrc	inflexa	ina	ina1	ina					
	tgrc	informa	inf		inf					
	ncbi	initiation factor IF1	infA				13774422	11251102		
	tgrc	inordinata	ida		ida					
	ncbi	inorganic phosphate transporter 2	PT2			phosphate transporter	2570524	9449838		
	tgrc	inquieta	ini	ini1	ini					
	tgrc	inquinata	ita	ita1	ita					
	ncbi	insulin degrading enzyme	ide			insulin degradation	21998671			
n	tgrc	integer	inr		inr					
n	tgrc	integrifolia	inta		inta					
	tgrc	Intense pigment	ip	Ip	Ip					
n	tgrc	introflexa-2	inx2		inx-2					
n	tgrc	Intumescences	Itm		Itm					
	tgrc	invalida	inv		inv					
	tgrc	involuta	ino	ino1	ino					
	ncbi	iron superoxide dismutase	FESOD	sodb		iron superoxide dismutase	33439119|33413302	15344817		
	tgrc	irregularis	irr		irr					
	tgrc	Isocitrate dehydrogenase-1	idh1	Idh-1	Idh-1					
	ncbi	jasmonic acid 1	JA1				6175247			
	ncbi	jasmonic acid 2	JA2				6175245			
	ncbi	jasmonic acid 3	LA3				6175251			
	tgrc	Jaundiced	jau	Jau	jau					
	tgrc	jointless	j	lf	j	MADS box transcription factor	83629189	10972295|11457984		
	tgrc	jointless-2	j2	j-2,j2	j-2					
	tgrc	jugata	jug		jug					
n	tgrc	k	k		(K)					
	ncbi	kinesin related protein	TKR				27462171			
	ncbi	knotted 4	tkn4			homeodomain protein	28195121|31323450			
	ncbi	knox-like 1 	KD1			homeodomain protein	31323452			
	ncbi	invertase 5	LIN5	IL9-2-5		beta-fructofuranosidase	1771149|20372845	9306701|10781077		
	ncbi	invertase 6	LIN6	Wiv-1		invertase	1771151|20467110|3608172	9306701|9794080|12586884		
	ncbi	invertase 7	LIN7			invertase	1771153|20467112	9306701|12586884		
	ncbi	invertase 8	LIN8			invertase	1771155|20467114	9306701|12586884		
	ncbi	pr p23 pathogenesis-related protein	prp23	pr p23tpm 1			22628|19314	8278538|1463856|8278538		
	ncbi	pTOM5	pTOM5				170415|512395|47104127	1544888		
	ncbi	twi1	twi1				1359904|47105610			
	ncbi	vsf-1	vsf1	vsf-1			47104248|1838975	8919907		
	ncbi	lactate dehydrogenase	LDH1			L-lactate dehydrogenase	1620969|47105328	9426593		
	tgrc	laesa	lae		lae					
	tgrc	laeta	lt	lt1	lt					
n	tgrc	laeta-2	lt2		lt-2					
	tgrc	lamprochlora	lap	lap1	lap					
	tgrc	Lanata	ln	Ln	Ln					
	tgrc	Lanceolate	la	La	La					
	tgrc	languida	lan		lan					
	tgrc	Lapageria	lpg	Lpg	lpg					
	tgrc	lata	lat		lat					
	tgrc	lateral suppresser	ls		ls	VHIID protein	4160440	9874811		
	tgrc	latifolia	ltf		ltf					
	tgrc	Lax	lx		lx					
n	tgrc	laxus	lax		lax					
	tgrc	lazy	lz		lz					
	tgrc	lazy-2	lz2	lz-2	lz-2					
	ncbi	LE-ACO41-aminocyclopropane-1-carboxylate oxidase	ACO4			aminocyclopropane-1-carboxylate oxidase	3986118|47105189	9847103		
	ncbi	Le3OH-13b-hydroxylase	3OH1	3OH-1		hydroxylase	3834349			
	ncbi	Le3OH-23b-hydroxylase	3OH2	3OH-2		hydroxylase	3834351			
	ncbi	histone H2B	H2B2	H2B-2			3021482	10344194		
	ncbi	class I knotted-like homeodomain protein 6	T6			homeodomain protein	252970	9484482		
	ncbi	GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase	ribA				2578364			
	ncbi	LEAJ5077 protein kinase	TCTR2				3201540			
	ncbi	LEAPSAA2 L.esculentum APS-AA2	APSAA2	APS-AA2			28375521			
	ncbi	LeArcA1 protein containing 7 WD40 repeats	ArcA1				4589833|47104094	10348696		
	ncbi	LeArcA2 protein containing 7 WD40 repeats	ArcA2				4589835|47104382	10348696		
	ncbi	LECEVI16G peroxidase precursor	cevi16				1161565	8672818		
	ncbi	LECEVI1A	CEVI1	CEVI-1			296909	8118059		
	ncbi	LECEVI57G protein inhibitor II	cevi57				1161571	8672818		
	tgrc	de-etiolated 1	det1	hp-2,hp2,dg,tdet1	hp-2	LEDET1 Solanum lycopersicon tDET1 protein	4038593	9927635|12589545		
	ncbi	extensin-like 10	Dif10				1491719	9349272		
	ncbi	extensin-like 54	Dif54				2125817	9349272		
	ncbi	LEE14BDGL L.esculentum endo-1,4-beta-D-glucanase	cel7				2230954			
	ncbi	LeEIL4EIN3-like	EIL4				37777030			
	ncbi	leer-sHSP small heat shock protein	sHSP				8918493			
	ncbi	LeftsH6FtsH protease	ftsH6				66954651			
	ncbi	LEGBF4G L.esculentum GBF4G-box binding protein	GBF4				456752	8127687		
	ncbi	LEHSC270  hsc-2heat shock protein cognate 70	hsc70				19257	1893113		
	ncbi	LeHSP110/ClpB heat shock protein	HSP110	ClpB			68989119			
	ncbi	LELDH2 L-lactate dehydrogenase	ldh				1620971	9426593		
	ncbi	LELKT1GEN L.esculentum potassium channel	LKT1				8980431	10805443		
	ncbi	LELYCOCYC lycopene epsilon-cyclase	CrtLe1	CrtL-e-1			3005982	10205893		
	ncbi	LeMA-1 putatve Mg-dependent ATPase 1	MA1	MA-1			732814	7766893		
	tgrc	lembiformis	le	le1	le					
	ncbi	LEMFP1	MFP1				1771157	8953774		
	ncbi	LePCL1	PCL1				71067057	16164597		
	ncbi	LEPR1A1A	PR1a1	PR-1a1			296911	8190070		
	tgrc	leprosa	lep	lep1	lep					
	ncbi	LEQA L.esculentum TomQ'a beta(1,3)glucanase	tomQa	tomQ`a			498923	8193297		
	ncbi	LEQB L.esculentum TomQ'b beta(1,3)glucanase	tomQb	tomQ`b			498925	8193297		
	ncbi	LERNALE L.esculentum ribonuclease le	rnale				895854	7894013		
	ncbi	LERNALX L.esculentum ribonuclease lx	rnalx				895856	7894013		
	ncbi	LERPL38A L.esculentum rpl38 ribosomal protein L38	rpl38				313026	8467223		
	ncbi	LES012717 SUMO protein	sumo				6433949			
	ncbi	LES17306 homeodomain protein	h52				6723678	10652131		
	ncbi	LES245570 Rab11 GTPase	Rab11a				6688534	11487695		
	ncbi	LES277944 SANT/MYB domain	fsm1				7981379	15599593		
	ncbi	LES294902 3-desoxy-D-manno octulosonic acid-8-phosphate synthase	kdsA				13509332			
	ncbi	LES441249 p27KIP1-related-protein 1	krp1				23899377			
	ncbi	LES457048 hero resistance protein 1 homologue	help1				26190251			
	ncbi	LES459816 putative phosphatase 14B	psi14B				26986117	12702022		
	ncbi	LES459817 putative phosphatase 14A	psi14A				26986119	12702022		
	ncbi	LESBT1 L.esculentum serine protease, SBT1	SBT1				1771159	10671566		
	ncbi	LESUBENDO L.esculentum subtilisin-like endoprotease	PRP69	PR-P69			1524114	8692815		
	ncbi	LETDR3	TDR3				19379	1688249		
	ncbi	LETDR4	TDR4				19381	1688249		
	ncbi	LETDR8	TDR8				19387	1688249		
	ncbi	LeTH1tobamovirus multiplication 1 homolog	TH1				74038608			
	ncbi	LeTH2tobamovirus multiplication 1 homolog 2	TH2				74038610			
	ncbi	LETHM1	THM1			myb-related transcription factor	1167485	8639738		
	ncbi	LETHM16 L.esculentum myb-related transcription factor	THM16			myb-related transcription factor	1430845			
	ncbi	LETHM27 L.esculentum THM27 protein	THM27			myb-related transcription factor	1167483	8639738		
	ncbi	LETHM6 L.esculentum myb-related transcription factor, THM6	THM6				1430847			
	ncbi	LETSI1	TSI1	TSI-1			2887309			
	ncbi	LETSW12	TSW12				19391	1558948		
	ncbi	LEU13054  endo-1,4-beta-glucanase precursor	Cel1				531902	7994180		
	ncbi	LEU22441  LeRAD51	RAD51				1143809	9021132		
	ncbi	LEU27454  gamma-glutamyl kinase and gamma-glutamyl phosphate reductase	PRO1				2078446			
	ncbi	LEU70481  abscission polygalacturonase	TAPG4				1575706	9112778		
	ncbi	LEU76407  knotted 2	TKn2	Me,Cu		knotted	4098239	9437860		
	ncbi	LEU76408  knotted 3	TKn3			knotted	4098241			
	ncbi	LEU76410  homeobox 2	THox2			homeobox protein	4098245			
	ncbi	LEU86662  VPS41	tVPS41				1835787	9159129		
	ncbi	leucine aminopeptidase 2	lap2	lap2			924627|1236651|1236653	7647301|8824220		
	ncbi	leucine aminopeptidase 1	LapN				27463708|924629	7647301|12746529		
	ncbi	leucine rich repeat protein	Shy				38731665	15255864		
	ncbi	LEVAHOX1G L.esculentum homeobox	VAHOX1			homeobox protein	1161574	8653114|8672818		
	tgrc	Leveillula taurica resistance	lv	v	lv					
	ncbi	LEXYL1	XYL1				37359705	14585820		
	ncbi	LEXYL2	XYL2				37359707	14585820		
	ncbi	LEY13632 Dem protein	dem				2190418			
	ncbi	LEY14339 proteasome, alpha subunit	PSR5				2315210			
	ncbi	LEY14762 glutathione peroxidase	GPXle1	GPXle-1		glutathione peroxidase	2388884	9654095		
	ncbi	LEY14763 glutathione peroxidase	GPXle2	GPXle-2		glutathione peroxidase	2388886	9654095		
	ncbi	LEY17225 cyclin-dependent protein kinase A-1	cdc2A1	cdc2A-1		protein kinase	3123613	10557234		
	ncbi	LEY17226 cyclin-dependent protein kinase 2A-2	cdc2A2	cdc2A-2		protein kinase	3123615	10557234		
	ncbi	LEYFGTOM5 GTOM5 mutant phytoene synthase	GTOM5	r,yellow flesh, ry		phytoene syntase	19346|19398	8343597		
n	tgrc	light green-2	lg2		lg-2					
n	tgrc	light green-3	lg3		lg-3					
n	tgrc	light green-4	lg4		lg-4					
	tgrc	light green-5	lg5	lg-5,lg5,lm,fy,yt	lg-5					
	tgrc	light-green	lg	lme	lg					
	tgrc	limbrata	li		li					
	ncbi	lipid desaturase	cevi19				1161567|47104450	8672818		
	ncbi	lipid transfer protein	ltpg2	le16		non-specific lipid transfer protein (ltpg2 gene)	71360929|1816534			
	ncbi	lipoxygenase	cevi34			lipoxygenase	1161569|10764844	8672818		
	ncbi	lipoxygenase B	LOX	loxB		lipoxygenase	575431|47105351|534845	7724686|7972514		
	ncbi	lipoxygenase C	loxC			lipoxygenase	1654137	9232884		
	ncbi	lipoxygenase D	loxD			lipoxygenase	1654139	9232884		
	ncbi	lipoxygenase A	loxA			lipoxygenase	575432	7972514		
n	tgrc	livida	liv		liv					
n	tgrc	Locule number	Lc		Lc					
n	tgrc	locule number increased	loc		loc					
n	tgrc	locule number reduced	lo		lo					
	tgrc	longipes	lop	lop1	lop					
n	tgrc	low acid	loa		loa					
n	tgrc	lower leaves albino fruit not ripening	lanr		lanr					
	ncbi	LSLESME DNA (cytosine-5)-methyltransferase	sMET			methyltransferase	2887279			
	tgrc	lucida	luc		luc					
n	tgrc	lucida-2	luc2		luc-2					
n	tgrc	lucida-3	luc3		luc-3					
	tgrc	lurida	lur	lur1	lur					
	tgrc	lutea	lut		lut					
n	tgrc	lutea-2	lut2		lut-2					
n	tgrc	lutea-3	lut3		lut-3					
	tgrc	luteola	lu		lu					
	tgrc	lutescent	l	g	l					
	tgrc	lutescent-2	l2	l-2,l-3,l2	l-2					
n	tgrc	luxurians	lux		lux					
	ncbi	lycopene beta-cyclase	CrtL1	CrtL-1		lycopene beta-cyclase	1006672	8837512		
	tgrc	lyrate	lyr		lyr					
