contig	gi	accession	locus	locus name	locus symbol	activity	alias	description	keywords	organism	pubmed_ids	chromosome	mol_type	marker	allele	comments
	76160997	DQ191661	DQ191661					Solanum tuberosum ribosomal protein L27a-like protein mRNA, complete cds.	HTC	potato			mRNA|			
Contig160	76160979	DQ191652	DQ191652	RNA binding protein	DQ191652	RNA binding protein		Solanum tuberosum RNA binding protein-like protein mRNA, complete cds.	HTC	potato			mRNA|			
	76160995	DQ191660	DQ191660					Solanum tuberosum RNA binding protein-like protein mRNA, complete cds.	HTC	potato			mRNA|			
Contig161	687707	U20297	STU20297	calmodulin	calmodulin			Solanum tuberosum clone PCM8 calmodulin gene, complete cds.		potato	7727747|		genomic DNA|			
	687699	U20292	STU20292					Solanum tuberosum clone PCM3 calmodulin gene, partial cds.		potato	7727747|		genomic DNA|			
	687701	U20293	STU20293					Solanum tuberosum clone PCM4 calmodulin gene, partial cds.		potato	7727747|		genomic DNA|			
	687705	U20296	STU20296					Solanum tuberosum clone PCM7 calmodulin gene, complete cds.		potato	7727747|		genomic DNA|			
	687697	U20291	STU20291					Solanum tuberosum clone PCM2 calmodulin gene, partial cds.		potato	7727747|		genomic DNA|			
	677902	U20295	STU20295					Solanum tuberosum clone PCM6 calmodulin mRNA, complete cds.		potato			mRNA|			
	76160989	DQ191657	DQ191657					Solanum tuberosum calmodulin 5/6/7/8-like protein mRNA, complete cds.	HTC	potato			mRNA|			
	76573326	DQ200375	DQ200375					Solanum tuberosum clone 060G04 putative calmodulin-like protein mRNA, complete cds.		potato			mRNA|			
Contig162	28863906	AY082619	AY082619	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	AY082617	UTP:alpha-D-glucose-1-phosphate uridylyltransferase		Solanum tuberosum Russet Burbank-1 UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863902	AY082617	AY082617					Solanum tuberosum Snowden UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863904	AY082618	AY082618					Solanum tuberosum ND860-2 UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863912	AY082622	AY082622					Solanum tuberosum BelRus UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863914	AY082623	AY082623					Solanum tuberosum Russet Burbank-2 UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863910	AY082621	AY082621					Solanum tuberosum Redsen UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	28863908	AY082620	AY082620					Solanum tuberosum Norchip UTP:alpha-D-glucose-1-phosphate uridylyltransferase mRNA, complete cds.		potato	15384406|		mRNA|			
	218000	D00667	POTUDPGP					Solanum tuberosum mRNA for UDP-glucose pyrophosphorylase, complete cds.		potato	2229031|		mRNA|			
	76160957	DQ191641	DQ191641					Solanum tuberosum UDP-glucose pyrophosphorylase-like protein mRNA, complete cds.	HTC	potato			mRNA|			
Contig163	473168	Z26949	Z26949	E1 alpha subunit of pyruvate dehydrogenase	lipoamide			S.tuberosum E1 alpha subunit of pyruvate dehydrogenase (lipoamide).	pyruvate dehydrogenase; pyruvate dehydrogenase alpha subunit	potato	7659754|		mRNA|			
	76160955	DQ191640	DQ191640					Solanum tuberosum unknown mRNA.	HTC	potato			mRNA|			
Contig164	24745879	AB061249	AB061249	26S proteasome AAA-ATPase subunit RPT4a	rpt4a		StRPT4a|StRPT4a|	Solanum tuberosum StRPT4a mRNA for 26S proteasome AAA-ATPase subunit RPT4a, complete cds.		potato			mRNA|			
	76160928	DQ191627	DQ191627					Solanum tuberosum 26S proteasome AAA-ATPase subunit RPT4a-like protein mRNA, complete cds.	HTC	potato			mRNA|			
Contig165	76160999	DQ191662	DQ191662					Solanum tuberosum elongation factor-like protein mRNA, complete cds.	HTC	potato			mRNA|			
	77416958	DQ207867	DQ207867	elongation factor 1B alpha-subunit	DQ207867			Solanum tuberosum clone 085E09 putative elongation factor 1B alpha-subunit0like mRNA, complete cds.	HTC	potato			mRNA|			
	76160926	DQ191626	DQ191626					Solanum tuberosum unknown mRNA.	HTC	potato			mRNA|			
Contig166	74273299	DQ131549	DQ131549	tRNA-Leu 	trnl		trnL|	Solanum tuberosum tRNA-Leu (trnL) gene, partial sequence; chloroplast.		potato			genomic DNA|			
	57337445	AJ854562	AJ854562				tRNA-Leu (UAA)|tRNA-Leu (UAA)|	Solanum tuberosum chloroplast partial tRNA-Leu (UAA) gene, intron, isolate 537-1 Ackersegen.	tRNA-Leu (UAA) gene	potato			genomic DNA|			
	118184732	EF010973	EF010973				trnL|	Solanum tuberosum tRNA-Leu (trnL) gene, partial sequence; chloroplast.		potato			genomic DNA|			
	57337449	AJ854566	AJ854566				tRNA-Leu (UAA)|tRNA-Leu (UAA)|	Solanum tuberosum chloroplast partial tRNA-Leu (UAA) gene, intron, isolate 537-6 Aura.	tRNA-Leu (UAA) gene	potato			genomic DNA|			
	57337447	AJ854564	AJ854564				tRNA-Leu (UAA)|tRNA-Leu (UAA)|	Solanum tuberosum chloroplast partial tRNA-Leu (UAA) gene, intron, isolate 537-3 Roseval.	tRNA-Leu (UAA) gene	potato			genomic DNA|			
	57337448	AJ854565	AJ854565				tRNA-Leu (UAA)|tRNA-Leu (UAA)|	Solanum tuberosum chloroplast partial tRNA-Leu (UAA) gene, intron, isolate 537-4 Jubel.	tRNA-Leu (UAA) gene	potato			genomic DNA|			
	57337446	AJ854563	AJ854563				tRNA-Leu (UAA)|tRNA-Leu (UAA)|	Solanum tuberosum chloroplast partial tRNA-Leu (UAA) gene, intron, isolate 537-2 Bamberger Hoernchen.	tRNA-Leu (UAA) gene	potato			genomic DNA|			
Contig167	21435	Z11964	Z11964					S.tuberosum gene for cytosolic pyruvate kinase, intron 1.	cytosolic pyruvate kinase	potato	1487141|		genomic DNA|			
	21436	Z11969	Z11969					S.tuberosum gene for cytosolic pyruvate kinase, intron 2.	cytosolic pyruvate kinase	potato	1487141|		genomic DNA|			
	21437	Z11970	Z11970					S.tuberosum gene for cytosolic pyruvate kinase, intron 3.	cytosolic pyruvate kinase	potato	1487141|		genomic DNA|			
	264129	S53332	S53332	cytosolic pyruvate kinase	pkc	pyruvate linase	PKc|PKc|PKc|	Solanum tuberosum cytosolic pyruvate kinase (PKc) gene, complete cds.		potato	1487141|		genomic DNA|			
Contig168	42795393	AY496262	AY496262	serine protease inhibitor	pin1	protease inhibitor	PI-1|PI-1|	Solanum tuberosum serine protease inhibitor (PI-1) mRNA, partial cds.		potato	15264937|		mRNA|			
	70779528	DQ087222	DQ087222				PPI2C1A|PPI2C1A|	Solanum tuberosum proteinase inhibitor 1 PPI2C1A (PPI2C1A) mRNA, complete cds.		potato			mRNA|			
	70779526	DQ087221	DQ087221				PPI3B2|PPI3B2|	Solanum tuberosum proteinase inhibitor 1 PPI3B2 (PPI3B2) mRNA, complete cds.		potato			mRNA|			
	70779530	DQ087223	DQ087223				PPI2C4|PPI2C4|	Solanum tuberosum proteinase inhibitor 1 PPI2C4 (PPI2C4) mRNA, complete cds.		potato			mRNA|			
	21529	X67950	X67950				pin1|pin1|	S.tuberosum pin1 mRNA for proteinase inhibitor I.	pin1 gene; protease inhibitor; protease inhibitor I	potato	8278532|		mRNA|			
	294282	L06606	POTPIN1B					Solanum tuberosum proteinase inhibitor I mRNA, complete cds.	proteinase inhibitor I	potato	7807552|		mRNA|			
	169490	L06137	POTINH1X				pin1|pin1|	Solanum tuberosum proteinase inhibitor 1 (pin1) mRNA, complete cds.		potato	7807552|		mRNA|			
	169541	L06985	POTPIN1A				pin1|pin1|pin1|pin1|pin1|	Solanum tuberosum proteinase inhibitor I mRNA, 3' end.	proteinase inhibitor I	potato	7807552|		mRNA|			
	21527	X67675	X67675				pin1|pin1|	S.tuberosum mRNA for proteinase inhibitor I.	pin1 gene; proteinase inhibitor I	potato	7807552|		mRNA|			
	930364	U30861	STU30861					Solanum tuberosum wound-inducible proteinase inhibitor I mRNA, partial cds.		potato	8925888|		mRNA|			
	73920932	DQ168322	DQ168322					Solanum tuberosum clone 066E06 proteinase inhibitor I precursor, mRNA, complete cds.		potato			mRNA|			
Contig169	73920904	DQ168312	DQ168312	metallocarboxypeptidase inhibitor precursor 2	pft2	metallocarboxypeptidase inhibitor precursor		Solanum tuberosum clone 024H10 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	73920940	DQ168326	DQ168326					Solanum tuberosum clone 149E01 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	2257606	AB005569	AB005569				PFT2|PFT2|	Solanum tuberosum mRNA for metallocarboxypeptidase inhibitor, complete cds.	metallocarboxypeptidase inhibitor; PFT2	potato			mRNA|			
	73920944	DQ168328	DQ168328					Solanum tuberosum clone 156G05 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	73920928	DQ168320	DQ168320					Solanum tuberosum clone 057H01 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	1144303	U30388	STU30388					Solanum tuberosum putative metallocarboxypeptidase inhibitor mRNA, complete cds.		potato	8925888|		mRNA|			
	73920887	DQ168310	DQ168310					Solanum tuberosum clone 001E11 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
Contig170	73920915	DQ168315	DQ168315					Solanum tuberosum clone 031G01 metallocarboxypeptidase inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	2257610	AB005571	AB005571				PFT4|PFT4|	Solanum tuberosum PFT4 mRNA for metallocarboxypeptidase inhibitor, complete cds.		potato			mRNA|			
	2257608	AB005570	AB005570	metallocarboxypeptidase inhibitor 3	pft3	metallocarboxypeptidase inhibitor	PFT3|PFT3|	Solanum tuberosum mRNA for metallocarboxypeptidase inhibitor, complete cds.	metallocarboxypeptidase inhibitor; PFT3	potato			mRNA|			
	2257614	AB005573	AB005573				PFT6|PFT6|	Solanum tuberosum mRNA for metallocarboxypeptidase inhibitor, complete cds.	metallocarboxypeptidase inhibitor; PFT6	potato			mRNA|			
	2257612	AB005572	AB005572				PFT5|PFT5|	Solanum tuberosum mRNA for metallocarboxypeptidase inhibitor, complete cds.	metallocarboxypeptidase inhibitor; PFT5	potato			mRNA|			
Contig171	73920906	DQ168313	DQ168313	proteinase inhibitor 2 precursor	pin2	proteinase inhibitor		Solanum tuberosum clone 027E11 proteinase inhibitor II precursor, mRNA, complete cds.		potato			mRNA|			
	1431616	X99095	X99095				pin2|pin2|	S.tuberosum mRNA for pin2 gene, wound induced.	pin2 gene	potato	9161035|		mRNA|			
	21523	X03778	X03778					Potato (Solanum tuberosum) mRNA 1 for proteinase inhibitor II.	protease inhibitor	potato			mRNA|			
Contig172	73697886	DQ151997	DQ151997	x				Solanum tuberosum clone pME20R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697877	DQ151988	DQ151988	x				Solanum tuberosum clone pME17S Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697876	DQ151987	DQ151987	x				Solanum tuberosum clone pME15S Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697875	DQ151986	DQ151986	x				Solanum tuberosum clone pMES3 Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697874	DQ151985	DQ151985	x				Solanum tuberosum clone pMES2 Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697884	DQ151995	DQ151995	x				Solanum tuberosum clone pME13R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697882	DQ151993	DQ151993	x				Solanum tuberosum clone pME11R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697883	DQ151994	DQ151994	x				Solanum tuberosum clone pME11-1R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697881	DQ151992	DQ151992	x				Solanum tuberosum clone pME7R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697880	DQ151991	DQ151991	x				Solanum tuberosum clone pME4R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
Contig173	73697885	DQ151996	DQ151996	x				Solanum tuberosum clone pME16R Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697879	DQ151990	DQ151990	x				Solanum tuberosum clone pME22-1S Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697878	DQ151989	DQ151989	x				Solanum tuberosum clone pME22S Ry-fsto marker genomic sequence.		potato			genomic DNA|			
	73697873	DQ151984	DQ151984	x				Solanum tuberosum clone pMES1 Ry-fsto marker genomic sequence.		potato			genomic DNA|			
Contig174	83779017	DQ314802	DQ314802	UDP-glucose:flavonoid 3-O-glucosyl transferase 	ufgt	UDP-glucose:flavonoid 3-O-glucosyl transferase 	UFGT|UFGT|	Solanum tuberosum putative UDP-glucose:flavonoid 3-O-glucosyl transferase (UFGT) mRNA, partial cds.		potato			mRNA|			
	73533498	DQ106850	DQ106850					Solanum tuberosum flavonoid 3-glucosyl transferase mRNA, complete cds.		potato			mRNA|			
	62112650	AY954034	AY954034					Solanum tuberosum flavonoid 3-glucosyl transferase mRNA, complete cds.		potato			mRNA|			
Contig175	70779534	DQ087225	DQ087225	proteinase inhibitor 1 3A	PPI3A4	proteinase inhibitor	PPI3A4|PPI3A4|	Solanum tuberosum proteinase inhibitor 1 PPI3A4 (PPI3A4) mRNA, complete cds.		potato			mRNA|			
	70779532	DQ087224	DQ087224				PPI3A2|PPI3A2|	Solanum tuberosum proteinase inhibitor 1 PPI3A2 (PPI3A2) mRNA, complete cds.		potato			mRNA|			
Contig176	20160363	AJ457081	AJ457081	allene oxide synthase	aos2	allene oxide synthase	aos2|aos2|	Solanum tuberosum mRNA for allene oxide synthase (aos2 gene).	allene oxide synthase; aos2 gene	potato			mRNA|			
	23956571	AY135640	AY135640				AOS|AOS|	Solanum tuberosum allene oxide synthase (AOS) mRNA, complete cds; nuclear gene for chloroplast product.		potato			mRNA|			
Contig177	21486	X67845	X67845	leucine aminopeptidase	lap		LAP|LAP|	S.tuberosum LAP mRNA for leucine aminopeptidase.	lap gene; leucine aminopeptidase	potato	1392612|		mRNA|			
	443978	X77015	X77015				LAP|LAP|LAP|LAP|	S.tuberosum LAP mRNA for leucine aminopeptidase.	lap gene; leucine aminopeptidase	potato	1392612|7765119|		mRNA|			
Contig178	169468	M25153	POTADH2	alcohol dehydrogenase 2	adh2	alcohol dehydrogenase	POTADH2	Potato alcohol dehydrogenase 2 (ADH-2) mRNA, complete cds.	alcohol dehydrogenase	potato			mRNA|			
	297177	X53242	X53242					S.tuberosum mRNA of alcohol dehydrogenase.	alcohol dehydrogenase; PR protein	potato	2102855|		mRNA|			
POTADH1	169466	M25154	POTADH1	alcohol dehydrogenase 1	adh1		POTADH1	Potato alcohol dehydrogenase 1 (ADH-1) mRNA, complete cds.	alcohol dehydrogenase	potato			mRNA|			
Contig179	21600	Z11669	Z11669	ubiquitin/ribosomal fusion protein	ubi3			S.tuberosum mRNA for ubiquitin monomer/ribosomal protein.	ribosomal protein; ubiquitin	potato	1327270|		mRNA|			
	349054	L22576	POTUBI3A				ubi3|ubi3|ubi3|	Solanum tuberosum ubiquitin/ribosomal fusion protein (ubi3) gene, complete cds.	ribosomal protein; ubiquitin	potato	8111011|		unassigned RNA|			
Contig180	3334853	Z99992	Z99992	formate dehydrogenase	fdh1	formate dehydrogenase	fdh1|fdh1|	Solanum tuberosum fdh1 gene encoding formate dehydrogenase.	fdh1 gene; formate dehydrogenase	potato			genomic DNA|			
	11991526	Z21493	Z21493					Solanum tuberosum mRNA for formate dehydrogenase.	formate dehydrogenase	potato	8278546|		mRNA|			
	3821729	Z99991	Z99991				FDH|FDH|	Solanum tuberosum mRNA for formate dehydrogenase (partial).	fdh gene; formate dehydrogenase	potato			mRNA|			
	3334854	Z99993	Z99993				fdh2|fdh2|	Solanum tuberosum fdh2 gene encoding formate dehydrogenase.	fdh2 gene; formate dehydrogenase	potato			genomic DNA|			
Contig181	71025386	DQ111028	DQ111028					Solanum tuberosum short vegatative phase gene, partial cds.		potato			genomic DNA|			
	55792849	AY643736	AY643736	MADS16	mads16	transcription factor	MADS16|MADS16|MADS16|MADS16|	Solanum tuberosum MADS16 (MADS16) gene, promoter region and complete cds.		potato	15824316|		genomic DNA|			
Contig182	55792825	AY643725	AY643725	MADS11	mads11	transcription factor	MADS11|MADS11|	Solanum tuberosum MADS11 (MADS11) mRNA, complete cds.		potato	15824316|		mRNA|			
	2735765	AF008652	AF008652				Stmads11|Stmads11|	Solanum tuberosum MADS transcriptional factor (Stmads11) mRNA, complete cds.		potato	9951721|		mRNA|			
Contig183	62750411	AY995153	AY995153	lipoxygenase 1	lox1	lipoxygenase		Solanum tuberosum cultivar Superior lipoxygenase 1 gene, promoter region and partial cds.		potato			genomic DNA|			
	1495805	X95514	X95514					S.tuberosum mRNA for lipoxygenase (clone T10).	lipoxygenase	potato	8702864|		mRNA|			
	1495811	X95511	X95511					S.tuberosum mRNA for lipoxygenase (clone T4).	lipoxygenase	potato	8702864|		mRNA|			
	1495807	X95515	X95515					S.tuberosum mRNA for lipoxygenase (clone T12).	lipoxygenase	potato	8702864|		mRNA|			
	1200151	X95667	X95667				lox|lox|	S.tuberosum mRNA homologous to lox gene (clone pCB536).	lipoxygenase; lox gene	potato	8653120|		mRNA|			
	2789651	AF039651	AF039651					Solanum tuberosum 5-lipoxygenase mRNA, complete cds.		potato	9480827|		mRNA|			
	1200149	X95666	X95666				lox|lox|	S.tuberosum mRNA homologous to lox gene (clone pCB531).	lipoxygenase; lox gene	potato	8653120|		mRNA|			
	1495815	X95513	X95513					S.tuberosum mRNA for lipoxygenase (clone T8).	lipoxygenase	potato	8702864|		mRNA|			
	765202	S73865	S73865				linoleate:oxygen oxidoreductase, lipoxygenase, LOX|linoleate:oxygen oxidoreductase, lipoxygenase, LOX|	linoleate:oxygen oxidoreductase [Solanum tuberosum, cv. Desiree, roots, mRNA Partial, 2718 nt].		potato	8029354|		mRNA|			
	1407702	U60201	STU60201				POTLX-2|POTLX-2|	Solanum tuberosum lipoxygenase (POTLX-2) mRNA, complete cds.		potato			mRNA|			
	1495809	X95516	X95516					S.tuberosum mRNA for lipoxygenase (clone T13).	lipoxygenase	potato	8702864|		mRNA|			
	486618	X79107	X79107					S.tuberosum (Desiree) mRNA for lipoxygenase.	lipoxygenase	potato	7870815|		mRNA|			
	6689342	Y18548	Y18548				lox1-St-2|lox1-St-2|	Solanum tuberosum mRNA for lipoxygenase.	lipoxygenase; lox1-St-2 gene	potato	11139400|		mRNA|			
	1495813	X95512	X95512					S.tuberosum mRNA for lipoxygenase (clone T6).	lipoxygenase	potato	8702864|		mRNA|			
	2558848	AF019613	AF019613				plox1|plox1|	Solanum tuberosum lipoxygenase (plox1) mRNA, complete cds.		potato			mRNA|			
	2558850	AF019614	AF019614				plox2|plox2|	Solanum tuberosum lipoxygenase (plox2) mRNA, complete cds.		potato			mRNA|			
	1407700	U60200	STU60200				POTLX-1|POTLX-1|	Solanum tuberosum lipoxygenase (POTLX-1) mRNA, complete cds.		potato			mRNA|			
Contig184	18032047	AY063128	AY063128	heterotrimeric G protein alpha subunit 2 	gpa1	G protein		Solanum tuberosum G protein alpha subunit 3 mRNA, complete cds.		potato			mRNA|			
	18032045	AY063127	AY063127					Solanum tuberosum heterotrimeric G protein alpha subunit 2 mRNA, complete cds.		potato	11911481|		mRNA|			
	1771735	X87836	X87836				gpa1|gpa1|gpa1|	S.tuberosum mRNA for alpha subunit of heterotrimeric G-protein.	alpha subunit; g protein; GPA1 gene; GPA1 protein	potato			mRNA|			
Contig185	15778631	AF414114	AF414114	G protein beta subunit 2 	gb2	G protein	GB2|GB2|	Solanum tuberosum G protein beta subunit 2 (GB2) mRNA, complete cds.		potato	11911481|		mRNA|			
	1771733	X87837	X87837				gb1|gb1|	S.tuberosum mRNA for beta 1 subunit of heterotrimeric G-protein.	beta-1 subunit; g protein; gb1 gene; GB1 protein	potato			mRNA|			
Contig186	1621011	Y08786	Y08786	1,4-alpha-glucan branching enzyme	sbe1		sbeI|sbeI|	Solanum tuberosum mRNA for 1,4-alpha-glucan branching enzyme.	1,4-alpha-glucan branching enzyme; SBEI gene	potato	8954164|	4	mRNA|			
	396080	X69805	X69805				SBE|SBE|	S.tuberosum mRNA for starch-branching-enzyme.	amyloplast; starch branching enzyme	potato	8278528|	4	mRNA|			
Contig187	16032973	AF237951	AF237951	potassium channel gene	skt1	potassium channel		Solanum tuberosum SKT1 potassium channel gene, partial cds.		potato	11849592|		genomic DNA|			
	1514648	X86021	X86021				SKT1	S.tuberosum mRNA for potassium channel.	potassium channel; SKT1 gene	potato	9501121|		mRNA|			
Contig188	1321996	X97763	X97763	pectin methylesterase 2	bpe2	pectin methylesterase	BPE2|BPE2|	S.tuberosum mRNA BPE2 for pectin methylesterase.	BPE2 gene; pectin methylesterase	potato			mRNA|			
	6689889	AF152171	AF152171				Pest1|Pest1|	Solanum tuberosum cultivar Desiree pectin methyl esterase (Pest1) mRNA, partial cds.		potato			mRNA|			
Contig189	1236784	X82652	X82652	sts14	sts14		sts14|sts14|	S.tuberosum sts14 gene.	sts14 gene	potato	8616234|		genomic DNA|			
	11177145	U17111	STU17111				sts14|sts14|	Solanum tuberosum (sts14) gene, complete cds.	pistil; PR-1	potato			genomic DNA|			
Contig190	4106842	AF095280	AF095280	ATPase synthase subunit 9	atpase9	ATPase synthase		Solanum tuberosum abc type heme transporter subunit gene, mitochondrial gene encoding mitochondrial protein, partial cds.		potato			genomic DNA|			
	297837	X63609	X63609				atp 9|atp 9|atp 9|	S.tuberosum mitochondrial mRNA for ATPase synthase subunit 9.	ATP synthase subunit 9; atp9 gene; Fo ATPase; inner membrane; protein; N,N' dicyclohexylcarbodiimide (DCCD) binding protein; oxidative phosphorylation; proteolipid protein of H+ -ATPase; proton translocating Fo portion	potato			mRNA|			
	297836	X63611	X63611					S.tuberosum mitochondrial atp 9 pseudogene.	atp 9 pseudogene; ATP synthase subunit 9; Fo ATPase; Fo-ATP; synthase subunit; inner membrane protein; N,N'; dicyclohexylcarbodiimide (DCCD) binding protein; oxidative; phosphorylation; proteolipid protein of H+ -ATPase; proton; translocating Fo portion	potato			genomic DNA|			
	297834	X63610	X63610				atp 9|atp 9|atp 9|	S.tuberosum mitochondrial atp 9 gene for ATP synthase subunit 9.	ATP synthase subunit 9; atp9 gene; Fo ATPase; inner membrane; protein; N,N' dicyclohexylcarbodiimide (DCCD) binding protein; oxidative phosphorylation; proteolipid protein of H+ -ATPase; proton translocating Fo portion	potato			genomic DNA|			
Contig191	21607	Z11672	Z11672	ubiquitin	ubiquitin	ubiquitin		S.tuberosum mRNA for ubiquitin (partial).	ubiquitin	potato	1327270|		mRNA|			
	899114	U26831	STU26831					Solanum tuberosum polyubiquitin gene, promoter and partial cds.		potato	1327270|8539296|		genomic DNA|			
Contig192	5391452	AF143202	AF143202	starch phosphorylase L gene	glgp	starch phosphorylase		Solanum tuberosum starch phosphorylase L gene, partial cds.		potato			genomic DNA|			
	294278	L13770	POTGLGPA				glgP	Potato (S.tuberosum) alpha-glucan phosphorylase type L (glgP) gene, complete cds.	alpha-glucan phosphorylase; tuber specific expression	potato			genomic DNA|			
	21578	X52385	X52385					Potato mRNA for starch phosphorylase.	starch phosphorylase	potato	2535551|1703627|		mRNA|			
	3702676	D00520	POTGP					Solanum tuberosum mRNA for alpha-glucan phosphorylase precursor, complete cds.	alpha-glucan phosphorylase	potato	2481677|		mRNA|			
Contig193	21464	X14133	X14133	chitinase	chtb2	chitinase		Potato mRNA fragment for endochitinase (EC 3.2.1.14).	chitinase; endochitinase	potato	2519115|		mRNA|			
	467823	U02607	STU02607				chtB3	Solanum tuberosum chitinase (chtB3) mRNA, partial cds.		potato	8111037|		mRNA|			
	467821	U02606	STU02606				chtB2	Solanum tuberosum chitinase (chtB2) mRNA, partial cds.		potato	8111037|		mRNA|			
Contig194	21422	X07130	X07130	endochitinase	X07130	endochitinase		Solanum tuberosum mRNA for endochitinase (EC 3.2.1.14).	chitinase; endochitinase	potato	3387233|		mRNA|			
	21426	X15494	X15494					Potato endochitinase gene (EC 3.2.1.14).	chitinase; endochitinase	potato	2762165|		genomic DNA|			
Contig195	12877	X58437	X58437	apocytochrome b	cob	apocytochrome b		S.tuberosum mitochondrial cob gene for apocytochrome b.	apocytochrome B; cob gene	potato	1840690|7504589|		genomic DNA|			
	4106844	AF095281	AF095281					Solanum tuberosum apocytochrome b (cob) gene, mitochondrial gene encoding mitochondrial protein, partial cds.		potato			genomic DNA|			
	4106829	AF095274	AF095274				rpl5|rpl5|rps14|cob|cob|	Solanum tuberosum ribosomal protein subunit 5 (rpl5) gene, partial cds; ribosomal protein small subunit 14 (rps14) pseudogene; and apocytochrome b (cob) gene, partial cds; mitochondrial genes encoding mitochondrial proteins.		potato			genomic DNA|			
	791142	X86453	X86453				rpl5|rpl5|rps14|rps14|rps14|	S.tuberosum mitochondrial rpl5 and rps14 genes.	pseudogene; ribosomal protein L5; rpl5 gene; rps14 pseudogene	potato	8806426|		genomic DNA|			
Contig196	57335860	AJ812331	AJ812331	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone B32.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335814	AJ812302	AJ812302	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone R3.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335853	AJ812326	AJ812326	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone B16.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335834	AJ812314	AJ812314	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone R29.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
Contig197	57335850	AJ812324	AJ812324	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone B13.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335852	AJ812325	AJ812325	x				Solanum tuberosum Ty-copia retrotransposon partial pseudogene for reverse transcriptase, clone B11.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335846	AJ812321	AJ812321	x				Solanum tuberosum Ty-copia retrotransposon partial pseudogene for reverse transcriptase, clone B6.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335837	AJ812316	AJ812316	x				Solanum tuberosum Ty-copia retrotransposon partial pseudogene for reverse transcriptase, clone R33.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
Contig198	57335847	AJ812322	AJ812322	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone B9.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335859	AJ812330	AJ812330	x				Solanum tuberosum Ty-copia retrotransposon partial pseudogene for reverse transcriptase, clone B22.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335833	AJ812313	AJ812313	x				Solanum tuberosum Ty-copia retrotransposon partial pseudogene for reverse transcriptase, partial clone R28.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335831	AJ812312	AJ812312	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone R26.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
Contig199	57335842	AJ812319	AJ812319	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone B4.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
	57335820	AJ812305	AJ812305	x				Solanum tuberosum Ty-copia retrotransposon partial gene for reverse transcriptase, clone R7.	retrotransposon; reverse transcriptase	potato			genomic DNA|			
